Date,MSCIDeveloped,MSCIEmerging,Commodity,Gold,DowToGold,ShillerPE,Cpi
1989-7-18,494.288,5.5372238190123335,153.4451600893522,372.2,6.860558839333692,17.01,124.5
1989-7-19,494.288,5.5372238190123335,153.4451600893522,373.8,6.8079186730872125,17.01,124.5
1989-7-20,494.288,5.5372238190123335,151.7449367088608,369.3,6.998104522068779,17.01,124.5
1989-7-21,494.288,5.5372238190123335,152.8500819061802,372.2,6.919666845781838,17.01,124.5
1989-7-22,494.288,5.5372238190123335,151.5749143708116,373.0,6.9903485254691695,17.01,124.5
1989-7-23,494.288,5.5372238190123335,151.5749143708116,373.0,6.9903485254691695,17.01,124.5
1989-7-24,494.288,5.5372238190123335,151.5749143708116,373.0,6.9903485254691695,17.01,124.5
1989-7-25,494.288,5.5372238190123335,147.06932241250934,373.9,6.913613265579032,17.01,124.5
1989-7-26,494.288,5.5372238190123335,144.94404318689502,382.6,6.751437532671196,17.01,124.5
1989-7-27,494.288,5.5372238190123335,140.26842889054356,375.0,6.968266666666667,17.01,124.5
1989-7-28,494.288,5.5372238190123335,138.398183172003,382.0,6.898952879581152,17.01,124.5
1989-7-29,494.288,5.5372238190123335,139.24829486224868,375.4,7.019712306872669,17.01,124.5
1989-7-30,494.288,5.5372238190123335,139.24829486224868,375.4,7.019712306872669,17.01,124.5
1989-7-31,494.288,5.5372238190123335,139.24829486224868,375.4,7.019712306872669,17.01,124.5
1989-8-1,549.295,5.883391444602424,138.56820551005214,378.7,7.0258780036968576,17.01,124.5
1989-8-2,549.295,5.883391444602424,137.97312732688013,378.8,6.972280887011615,17.73,124.5
1989-8-3,549.295,5.883391444602424,136.86798212956072,377.8,7.033880359978824,17.73,124.5
1989-8-4,549.295,5.883391444602424,139.41831720029785,381.4,6.9785002621919245,17.73,124.5
1989-8-5,549.295,5.883391444602424,137.29303797468353,375.4,7.06846030900373,17.73,124.5
1989-8-6,549.295,5.883391444602424,137.29303797468353,375.4,7.06846030900373,17.73,124.5
1989-8-7,549.295,5.883391444602424,137.29303797468353,375.4,7.06846030900373,17.73,124.5
1989-8-8,549.295,5.883391444602424,136.44292628443785,373.4,7.217461167648635,17.73,124.5
1989-8-9,549.295,5.883391444602424,138.398183172003,373.6,7.224839400428265,17.73,124.5
1989-8-10,549.295,5.883391444602424,139.8433730454207,373.9,7.184006418828564,17.73,124.5
1989-8-11,549.295,5.883391444602424,143.92390915860017,374.2,7.249064671298771,17.73,124.5
1989-8-12,549.295,5.883391444602424,144.51898734177217,371.4,7.226709746903609,17.73,124.5
1989-8-13,549.295,5.883391444602424,144.51898734177217,371.4,7.226709746903609,17.73,124.5
1989-8-14,549.295,5.883391444602424,144.51898734177217,371.4,7.226709746903609,17.73,124.5
1989-8-15,549.295,5.883391444602424,143.2438198064036,373.2,7.175509110396571,17.73,124.5
1989-8-16,549.295,5.883391444602424,144.51898734177217,377.5,7.12,17.73,124.5
