DateTime,Dow/Gold
1957-01-31,13.5931914893617
1957-02-28,13.1807092198582
1957-03-31,13.4697872340426
1957-04-30,14.0243971631206
1957-05-31,14.3242553191489
1957-06-30,14.2777304964539
1957-07-31,14.4260992907801
1957-08-31,13.7404255319149
1957-09-30,12.9446808510638
1957-10-31,12.5117730496454
1957-11-30,12.7622695035461
1957-12-31,12.36
1958-01-31,12.766524822695
1958-02-28,12.48
1958-03-31,12.6740425531915
1958-04-30,12.9321985815603
1958-05-31,13.1262411347518
1958-06-30,13.565390070922
1958-07-31,14.269219858156
1958-08-31,14.429219858156
1958-09-30,15.0947517730496
1958-10-31,15.4104964539007
1958-11-30,15.8144680851064
1958-12-31,16.5574468085106
1959-01-31,16.8499290780142
1959-02-28,17.1205673758865
1959-03-31,17.0697872340426
1959-04-30,17.6950354609929
1959-05-31,18.2635460992908
1959-06-30,18.2581560283688
1959-07-31,19.1455319148936
1959-08-31,18.8485106382979
1959-09-30,17.92
1959-10-31,18.3432624113475
1959-11-30,18.7001418439716
1959-12-31,19.2726241134752
1960-01-31,17.0580821917808
1960-02-29,17.2635616438356
1960-03-31,16.8928767123288
1960-04-30,16.4849315068493
1960-05-31,17.1369863013699
1960-06-30,17.5512328767123
1960-07-31,16.8967123287671
1960-08-31,17.1504109589041
1960-09-30,15.8942465753425
1960-10-31,15.9002739726027
1960-11-30,16.3621917808219
1960-12-31,16.873698630137
1961-01-31,18.2591549295775
1961-02-28,18.6501408450704
1961-03-31,19.06
1961-04-30,19.1185915492958
1961-05-31,19.6259154929577
1961-06-30,19.2664788732394
1961-07-31,19.8695774647887
1961-08-31,20.28
1961-09-30,19.7523943661972
1961-10-31,19.8287323943662
1961-11-30,20.3267605633803
1961-12-31,20.5954929577465
1962-01-31,19.8019801980198
1962-02-28,20.029702970297
1962-03-31,19.998585572843
1962-04-30,18.821216407355
1962-05-31,17.3510608203678
1962-06-30,15.8777934936351
1962-07-31,16.9145685997171
1962-08-31,17.2328147100424
1962-09-30,16.3785007072136
1962-10-31,16.6837340876945
1962-11-30,18.3677510608204
1962-12-31,18.4469589816124
1963-01-31,19.3716312056738
1963-02-28,18.8068085106383
1963-03-31,19.3622695035461
1963-04-30,20.3602836879433
1963-05-31,20.6229787234043
1963-06-30,20.0533333333333
1963-07-31,19.7285106382979
1963-08-31,20.6899290780142
1963-09-30,20.7883687943262
1963-10-31,21.4249645390071
1963-11-30,21.2913475177305
1963-12-31,21.6439716312057
1964-01-31,22.2161244695898
1964-02-29,22.6347949080622
1964-03-31,23.0067892503536
1964-04-30,22.9355021216407
1964-05-31,23.2124469589816
1964-06-30,23.5219236209335
1964-07-31,23.7934936350778
1964-08-31,23.7193776520509
1964-09-30,24.7629420084866
1964-10-31,24.6981612446959
1964-11-30,24.764639321075
1964-12-31,24.7278642149929
1965-01-31,25.432676056338
1965-02-28,25.4501408450704
1965-03-31,25.043661971831
1965-04-30,25.9805633802817
1965-05-31,25.8602816901408
1965-06-30,24.4515492957746
1965-07-31,24.8377464788732
1965-08-31,25.1577464788732
1965-09-30,26.2135211267606
1965-10-31,27.0653521126761
1965-11-30,26.6678873239437
1965-12-31,27.3030985915493
1966-01-31,27.7827683615819
1966-02-28,26.8895480225989
1966-03-31,26.1234463276836
1966-04-30,26.3751412429379
1966-05-31,24.9737288135593
1966-06-30,24.5790960451977
1966-07-31,23.9372881355932
1966-08-31,22.2714689265537
1966-09-30,21.8706214689266
1966-10-31,22.7985875706215
1966-11-30,22.3612994350283
1966-12-31,22.1946327683616
1967-01-31,23.9405633802817
1967-02-28,23.6442253521127
1967-03-31,24.3938028169014
1967-04-30,25.269014084507
1967-05-31,24.0157746478873
1967-06-30,24.232676056338
1967-07-31,25.4715492957746
1967-08-31,25.3884507042254
1967-09-30,26.1030985915493
1967-10-31,24.7814084507042
1967-11-30,24.6707042253521
1967-12-31,25.4960563380282
1968-01-31,24.0977464788732
1968-02-29,23.6760563380282
1968-03-31,23.6808450704225
1968-04-30,23.3304347826087
1968-05-31,21.4047619047619
1968-06-30,21.9242979242979
1968-07-31,22.6992287917738
1968-08-31,22.4845671267252
1968-09-30,23.5715365239295
1968-10-31,24.2956632653061
1968-11-30,24.7196988707654
1968-12-31,22.4970202622169
1969-01-31,22.2338425381904
1969-02-28,21.1621274108708
1969-03-31,21.7048723897912
1969-04-30,21.793119266055
1969-05-31,21.7279258400927
1969-06-30,21.1810794420861
1969-07-31,19.6735826296743
1969-08-31,20.4327228327228
1969-09-30,20.0022140221402
1969-10-31,21.4803011292346
1969-11-30,22.8495077355837
1969-12-31,22.7310423175234
1970-01-31,21.2710120068611
1970-02-28,22.2168571428571
1970-03-31,22.2541076487252
1970-04-30,20.5319386331939
1970-05-31,19.7307042253521
1970-06-30,19.248943959448
1970-07-31,20.8024936242562
1970-08-31,21.3719077568134
1970-09-30,20.9900662251656
1970-10-31,20.2034759358289
1970-11-30,21.119414893617
1970-12-31,22.4460200668896
1971-01-31,22.8552631578947
1971-02-28,22.656096932199
1971-03-31,23.3085051546392
1971-04-30,23.7815656565657
1971-05-31,22.2502450980392
1971-06-30,22.1676616915423
1971-07-31,20.2102413184226
1971-08-31,21.9041463414634
1971-09-30,20.8873454973514
1971-10-31,19.7877358490566
1971-11-30,19.0893226176808
1971-12-31,20.464367816092
1972-01-31,19.215548455804
1972-02-29,19.1762396694215
1972-03-31,19.4459948320413
1972-04-30,19.2761616161616
1972-05-31,16.2010118043845
1972-06-30,14.4934477379095
1972-07-31,13.4214804063861
1972-08-31,14.4270958083832
1972-09-30,14.8716068642746
1972-10-31,14.8315095071789
1972-11-30,16.0095911949686
1972-12-31,15.7653786707883
1973-01-31,15.1366666666667
1973-02-28,11.1966002344666
1973-03-31,10.5375069252078
1973-04-30,10.1590959206174
1973-05-31,7.87257641921397
1973-06-30,7.22032388663968
